epoch,test_images,pred_score,gt_score
1,cim1_1_1.bmp,55.78186276753743,36.79291915893555
1,cim1_1_2.bmp,62.97088139851888,46.42534637451172
1,cim1_1_3.bmp,66.95890909830729,46.041961669921875
1,cim1_1_4.bmp,70.10658798217773,64.93254852294922
1,cim1_1_5.bmp,71.93719151814778,61.35892868041992
1,cim1_1_6.bmp,73.26496988932291,65.34765625
1,cim1_1_7.bmp,73.61051559448242,77.60572814941406
1,cim1_2_1.bmp,48.053605270385745,50.912567138671875
1,cim1_2_2.bmp,49.504644775390624,57.36232376098633
1,cim1_2_3.bmp,50.15806401570638,56.90944290161133
1,cim1_2_4.bmp,53.315303293863934,64.20155334472656
1,cim1_2_5.bmp,59.100440724690756,75.05059814453125
1,cim1_2_6.bmp,65.11734224955241,79.2597427368164
1,cim1_2_7.bmp,67.13520596822103,87.42982482910156
1,cim1_3_1.bmp,47.596794255574544,53.78916931152344
1,cim1_3_2.bmp,51.979915110270184,57.75459671020508
1,cim1_3_3.bmp,55.208038965861,67.19474792480469
1,cim1_3_4.bmp,59.578137969970705,78.52014923095703
1,cim1_3_5.bmp,60.89207852681478,80.09564971923828
1,cim1_3_6.bmp,64.67065188090007,85.53860473632812
1,cim1_3_7.bmp,66.75510838826497,84.5912094116211
1,cim1_4_1.bmp,45.06522827148437,69.51768493652344
1,cim1_4_2.bmp,45.52098541259765,49.933616638183594
1,cim1_4_3.bmp,50.01451784769694,32.51749038696289
1,cim1_4_4.bmp,49.48821169535319,34.59866714477539
1,cim1_4_5.bmp,50.71983451843262,51.459716796875
1,cim1_4_6.bmp,50.461910502115884,41.26806640625
1,cim1_4_7.bmp,51.1907766977946,33.10770034790039
1,cim1_5_1.bmp,50.057471720377606,31.587562561035156
1,cim1_5_2.bmp,51.01694501241048,42.15911865234375
1,cim1_5_3.bmp,51.46727066040039,41.84296798706055
1,cim1_5_4.bmp,51.56309432983399,43.372886657714844
1,cim1_5_5.bmp,52.20861714680989,53.669166564941406
1,cim1_5_6.bmp,52.79853909810384,53.9964714050293
1,cim1_5_7.bmp,52.218481572469074,60.108097076416016
1,cim1_6_1.bmp,49.70288213094076,41.88880920410156
1,cim1_6_2.bmp,51.52393366495768,45.514286041259766
1,cim1_6_3.bmp,52.186816151936846,59.71625518798828
1,cim1_6_4.bmp,52.80401318868001,53.33950424194336
1,cim1_6_5.bmp,53.59494895935059,60.5711669921875
1,cim1_6_6.bmp,54.4563549041748,60.37334442138672
1,cim1_6_7.bmp,55.519357426961264,69.39696502685547
1,cim1_7_1.bmp,48.68282572428385,41.482975006103516
1,cim1_7_2.bmp,48.438833236694336,42.61480712890625
1,cim1_7_3.bmp,49.23557815551758,40.4368896484375
1,cim1_7_4.bmp,48.52726987202962,50.168888092041016
